Local time,Open,High,Low,Close,Volume
18.10.2020 23:00:00.000 GMT+0200,1.28924,1.30240,1.28920,1.29387,276483.7449
19.10.2020 23:00:00.000 GMT+0200,1.29387,1.29796,1.29110,1.29469,238990.6393
20.10.2020 23:00:00.000 GMT+0200,1.29463,1.31766,1.29401,1.31453,403733.11640000006
21.10.2020 23:00:00.000 GMT+0200,1.31413,1.31514,1.30702,1.30782,715398.1803000004
22.10.2020 23:00:00.000 GMT+0200,1.30777,1.31223,1.30187,1.30391,549877.9765999999
25.10.2020 23:00:00.000 GMT+0200,1.30563,1.30745,1.29925,1.30227,820971.5147999999
26.10.2020 23:00:00.000 GMT+0200,1.30232,1.30794,1.30008,1.30431,543064.8730000001
27.10.2020 23:00:00.000 GMT+0200,1.30417,1.30632,1.29162,1.29825,498588.72390000004
28.10.2020 23:00:00.000 GMT+0200,1.29836,1.30254,1.28804,1.29233,499460.9657
29.10.2020 23:00:00.000 GMT+0200,1.29249,1.29879,1.28987,1.29472,511283.14690000005
02.11.2020 00:00:00.000 GMT+0200,1.29243,1.29424,1.28538,1.29154,415541.94090000005
03.11.2020 00:00:00.000 GMT+0200,1.29154,1.30786,1.29073,1.30528,297897.9597
04.11.2020 00:00:00.000 GMT+0200,1.30519,1.31397,1.29140,1.29854,904201.0018999999
05.11.2020 00:00:00.000 GMT+0200,1.29850,1.31544,1.29299,1.31451,673202.2305000001
06.11.2020 00:00:00.000 GMT+0200,1.31452,1.31769,1.30922,1.31477,680569.8827000001
09.11.2020 00:00:00.000 GMT+0200,1.31592,1.32078,1.31179,1.31627,897656.8361
10.11.2020 00:00:00.000 GMT+0200,1.31630,1.32778,1.31554,1.32692,601671.4878000001
11.11.2020 00:00:00.000 GMT+0200,1.32692,1.33132,1.31908,1.32204,288265.90099999995
12.11.2020 00:00:00.000 GMT+0200,1.32205,1.32281,1.31061,1.31144,254167.21120000005
13.11.2020 00:00:00.000 GMT+0200,1.31144,1.31996,1.31088,1.31983,202569.8299
16.11.2020 00:00:00.000 GMT+0200,1.31660,1.32420,1.31652,1.31964,200980.1001
17.11.2020 00:00:00.000 GMT+0200,1.31964,1.32725,1.31910,1.32449,173774.97120000006
18.11.2020 00:00:00.000 GMT+0200,1.32449,1.33121,1.32435,1.32709,147316.8787
19.11.2020 00:00:00.000 GMT+0200,1.32678,1.32787,1.31957,1.32596,199356.52990000002
20.11.2020 00:00:00.000 GMT+0200,1.32596,1.32975,1.32431,1.32817,172336.20000000004
23.11.2020 00:00:00.000 GMT+0200,1.32927,1.33975,1.32633,1.33244,178274.72920000003
24.11.2020 00:00:00.000 GMT+0200,1.33245,1.33801,1.32927,1.33586,190522.7494
25.11.2020 00:00:00.000 GMT+0200,1.33572,1.33931,1.33038,1.33860,180333.3501
26.11.2020 00:00:00.000 GMT+0200,1.33820,1.33975,1.33217,1.33566,130982.3413
27.11.2020 00:00:00.000 GMT+0200,1.33560,1.33814,1.32875,1.33068,197292.25069999998
30.11.2020 00:00:00.000 GMT+0200,1.33310,1.33846,1.33048,1.33214,218088.07830000005
01.12.2020 00:00:00.000 GMT+0200,1.33214,1.34420,1.33153,1.34179,197672.4286
02.12.2020 00:00:00.000 GMT+0200,1.34199,1.34409,1.32872,1.33637,216312.78059999994
03.12.2020 00:00:00.000 GMT+0200,1.33637,1.34997,1.33528,1.34505,229566.04970000003
04.12.2020 00:00:00.000 GMT+0200,1.34403,1.35391,1.34098,1.34332,279895.4594
07.12.2020 00:00:00.000 GMT+0200,1.34092,1.34373,1.32243,1.33789,249873.03840000002
08.12.2020 00:00:00.000 GMT+0200,1.33772,1.33932,1.32896,1.33575,254340.60030000002
09.12.2020 00:00:00.000 GMT+0200,1.33539,1.34778,1.33519,1.34003,201280.60100000002
10.12.2020 00:00:00.000 GMT+0200,1.34009,1.34108,1.32450,1.32909,244180.99910000004
11.12.2020 00:00:00.000 GMT+0200,1.32945,1.33239,1.31339,1.32203,232707.95029999997
14.12.2020 00:00:00.000 GMT+0200,1.33603,1.34451,1.32897,1.33288,190289.29129999998
15.12.2020 00:00:00.000 GMT+0200,1.33220,1.34688,1.32798,1.34575,217090.46010000003
16.12.2020 00:00:00.000 GMT+0200,1.34573,1.35545,1.34339,1.35081,159877.71600000004
