Local time,Open,High,Low,Close,Volume
24.01.2020 16:00:00.000 GMT+0200,1.30998,1.31065,1.30565,1.30782,37624.2998
24.01.2020 20:00:00.000 GMT+0200,1.30783,1.30847,1.30687,1.30701,11478.1
27.01.2020 00:00:00.000 GMT+0200,1.30799,1.30799,1.30602,1.30673,13140.1001
27.01.2020 04:00:00.000 GMT+0200,1.30672,1.30672,1.30511,1.30586,9063.4798
27.01.2020 08:00:00.000 GMT+0200,1.30585,1.31050,1.30575,1.30951,27078.369899999998
27.01.2020 12:00:00.000 GMT+0200,1.30951,1.30964,1.30571,1.30614,28381.190000000002
27.01.2020 16:00:00.000 GMT+0200,1.30614,1.30696,1.30395,1.30581,29505.070200000002
27.01.2020 20:00:00.000 GMT+0200,1.30577,1.30602,1.30412,1.30555,12536.49
28.01.2020 00:00:00.000 GMT+0200,1.30571,1.30649,1.30475,1.30634,10822.9202
28.01.2020 04:00:00.000 GMT+0200,1.30634,1.30635,1.30532,1.30562,7462.999900000001
28.01.2020 08:00:00.000 GMT+0200,1.30562,1.30562,1.30037,1.30295,27480.1
28.01.2020 12:00:00.000 GMT+0200,1.30294,1.30311,1.30023,1.30047,28955.4097
28.01.2020 16:00:00.000 GMT+0200,1.30048,1.30077,1.29752,1.29990,29207.489700000002
28.01.2020 20:00:00.000 GMT+0200,1.29990,1.30278,1.29940,1.30272,14844.789700000001
29.01.2020 00:00:00.000 GMT+0200,1.30272,1.30282,1.30169,1.30170,8451.75
29.01.2020 04:00:00.000 GMT+0200,1.30170,1.30255,1.30149,1.30252,7094.850200000001
29.01.2020 08:00:00.000 GMT+0200,1.30252,1.30262,1.30036,1.30137,20479.3201
29.01.2020 12:00:00.000 GMT+0200,1.30135,1.30203,1.29892,1.29898,20062.0903
29.01.2020 16:00:00.000 GMT+0200,1.29898,1.30170,1.29898,1.30119,24505.6704
29.01.2020 20:00:00.000 GMT+0200,1.30118,1.30254,1.30079,1.30153,15420.8196
30.01.2020 00:00:00.000 GMT+0200,1.30191,1.30253,1.30002,1.30191,8371.600199999999
30.01.2020 04:00:00.000 GMT+0200,1.30191,1.30202,1.30108,1.30144,7337.3799
30.01.2020 08:00:00.000 GMT+0200,1.30153,1.30184,1.29773,1.30158,24639.25
30.01.2020 12:00:00.000 GMT+0200,1.30160,1.31084,1.30078,1.30980,53402.0288
30.01.2020 16:00:00.000 GMT+0200,1.30980,1.31099,1.30749,1.30945,37153.1094
30.01.2020 20:00:00.000 GMT+0200,1.30946,1.30956,1.30796,1.30909,16017.830000000002
31.01.2020 00:00:00.000 GMT+0200,1.30908,1.31050,1.30775,1.30965,12434.1398
31.01.2020 04:00:00.000 GMT+0200,1.30966,1.31034,1.30929,1.30966,8807.4599
31.01.2020 08:00:00.000 GMT+0200,1.30965,1.31409,1.30941,1.31176,25717.2202
31.01.2020 12:00:00.000 GMT+0200,1.31176,1.31448,1.30999,1.31441,33009.1304
31.01.2020 16:00:00.000 GMT+0200,1.31446,1.31996,1.31386,1.31959,49532.2895
